Marital Status ,Length of Work (months),Support Level,Education (years),Age,Self Esteem
Single,4,None,9,52,2
Single,4,None,9,52,2
Single,14,Direct,11,40,3
Single,10,Direct,9,46,3
Single,12,None,12,40,3
Single,6,None,10,47,3
Single,4,None,10,50,3
Single,5,None,10,44,3
Married,9,Direct,9,46,3
Married,4,None,9,47,3
Married,4,None,10,51,3
Separated,11,Direct,9,47,3
Separated,10,Direct,9,51,3
Separated,12,Direct,10,42,3
Separated,9,Direct,9,48,3
Separated,3,None,9,46,3
Separated,14,None,12,37,3
Separated,13,None,12,35,3
Separated,3,None,9,43,3
Separated,4,None,10,45,3
Divorced,10,Direct,10,50,3
Divorced,8,None,9,46,3
Divorced,2,None,11,49,3
Divorced,7,None,12,48,3
Divorced,8,None,10,45,3
Divorced,9,None,9,47,3
Divorced,6,None,9,46,3
Divorced,4,None,9,47,3
Divorced,3,None,10,45,3
Divorced,2,None,10,47,3
Single,12,Direct,13,28,4
Single,37,Direct,12,42,4
Single,23,Direct,10,40,4
Single,23,Direct,12,38,4
Single,10,Direct,9,45,4
Single,10,Direct,10,47,4
Single,9,Direct,9,47,4
Married,23,None,12,39,4
Separated,12,Direct,10,43,4
Separated,21,None,11,39,4
Separated,10,None,12,33,4
Separated,11,None,12,35,4
Divorced,14,None,12,45,4
Divorced,12,None,13,41,4
Divorced,5,None,9,43,4
Single,51,Direct,12,28,5
Single,40,Direct,14,32,5
Single,29,Direct,14,38,5
Single,29,Direct,14,36,5
Single,29,Direct,14,39,5
Single,21,Direct,13,39,5
Married,7,Direct,9,48,5
Married,24,Direct,12,29,5
Married,32,Direct,13,26,5
Separated,37,Direct,14,30,5
Divorced,31,Direct,13,26,5
Single,58,Direct,12,27,6
Single,17,None,12,38,6
Married,61,Direct,16,28,6
Separated,64,Direct,14,38,6
